,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,latitude,longitude,distance_btw_lax,accommodates,bedrooms,beds,bathrooms,amenity_num,review_scores_rating,price
22526,1227,0,8.0,8.0,5,34.09043,-118.26705,21.074104902483775,4,1.0,1.0,1.0,501,83.0,162.0
22527,2677,1,3.0,3.0,6,34.20228,-118.43991000000001,29.139455753999044,1,1.0,1.0,1.0,485,100.0,55.0
22528,508,0,1.0,1.0,2,34.03475,-118.26456999999999,16.839089202649937,4,1.0,1.0,1.0,507,95.0,185.0
22529,1112,0,3.0,3.0,7,34.148340000000005,-117.9816,45.572329187389194,7,3.0,4.0,2.0,331,100.0,250.0
22530,632,0,8.0,8.0,6,33.98591,-118.47056,7.554417150652957,2,-1.0,1.0,1.0,350,88.0,115.0
22531,508,0,1.0,1.0,2,34.01423,-118.49666,11.462470923534395,4,1.0,1.0,1.0,411,83.0,245.0
22532,3360,1,7.0,7.0,5,33.98773,-118.47344,7.887822814225592,6,3.0,6.0,2.5,589,99.0,556.14
22533,1391,1,8.0,8.0,8,33.98167,-118.46816000000001,7.082242989434311,6,3.0,3.0,4.0,526,-1.0,3000.0
22534,1406,0,28.0,28.0,6,34.06218,-118.44373999999999,13.800135505750216,4,1.0,2.0,1.0,277,95.0,165.0
22535,1534,0,1.0,1.0,6,33.769940000000005,-118.18723999999999,27.96912606740713,2,1.0,1.0,1.0,214,-1.0,59.0
22536,1329,0,16.0,16.0,7,34.10244,-118.38568000000001,18.013476363245744,16,5.0,7.0,6.5,1002,100.0,6000.0
22537,1352,1,1.0,1.0,7,34.14743,-118.79073999999999,42.01491714108983,1,1.0,1.0,1.0,255,100.0,55.0
22538,651,1,0.0,0.0,6,33.97279,-118.15847,23.327218855127477,9,2.0,5.0,1.0,642,97.0,82.0
22539,1160,0,1.0,1.0,5,34.16133,-118.31862,25.8060037617336,2,1.0,1.0,1.0,432,100.0,65.0
22540,2100,0,1.0,1.0,4,34.06483,-118.29418000000001,17.291625990117844,1,1.0,1.0,1.0,431,100.0,40.0
22541,508,0,1.0,1.0,4,34.06023,-118.24521000000001,20.02095579306236,6,1.0,2.0,1.0,447,92.0,140.0
22542,881,0,16.0,16.0,5,34.100590000000004,-118.34246,18.70310698684202,7,2.0,3.0,2.0,474,70.0,170.0
22543,1769,0,1.0,1.0,2,34.247859999999996,-118.52113,35.60996241826936,4,3.0,4.0,1.0,193,-1.0,150.0
22544,1630,0,1.0,1.0,1,34.03913,-118.61975,22.299019424518924,12,6.0,6.0,3.0,462,100.0,1500.0
22545,1563,0,1.0,1.0,4,33.903079999999996,-118.35126000000001,6.80213680089954,5,2.0,3.0,1.0,509,95.0,142.0
22546,508,0,1.0,1.0,2,34.1597,-118.30063,26.217101399722043,6,2.0,3.0,1.0,354,91.0,299.0
22547,508,0,1.0,1.0,7,34.06572,-118.34527,14.986500370988985,2,1.0,1.0,1.0,460,92.0,90.0
22548,1774,1,1.0,1.0,5,33.996179999999995,-118.45549,7.459612373766306,4,1.0,2.0,1.0,584,99.0,250.0
22549,664,0,1.0,1.0,5,33.7612,-118.13838999999999,32.018843827146725,2,2.0,2.0,1.0,321,100.0,125.0
22550,3050,1,2.0,2.0,11,33.99544,-118.48024,8.925222227713467,2,1.0,1.0,1.0,393,94.0,179.0
22551,1200,0,3.0,3.0,8,34.05693,-118.44564,13.277449184112537,6,3.0,4.0,2.0,552,94.0,160.0
22552,825,0,2.0,2.0,7,34.13925,-118.4052,21.986680487284538,4,2.0,3.0,2.5,550,95.0,283.0
22553,706,0,3.0,3.0,2,33.92743,-118.35501000000001,5.181827689916161,1,-1.0,1.0,1.0,199,95.0,70.0
22554,1016,1,3.0,3.0,4,33.76222,-118.13458999999999,32.22264224846901,7,3.0,5.0,2.0,805,97.0,265.0
22555,2498,1,1.0,1.0,4,33.99626,-118.45228,7.298936130224476,2,1.0,1.0,1.0,731,100.0,100.0
22556,1613,0,6.0,6.0,9,34.16843,-118.568,29.199536991776327,4,1.0,1.0,1.0,451,-1.0,135.0
22557,748,0,2.0,2.0,5,34.064370000000004,-118.3811,13.887451589165632,1,1.0,1.0,1.0,422,86.0,101.0
22558,2300,1,2.0,2.0,4,33.7675,-118.17341,29.095921079183228,2,1.0,1.0,1.0,499,97.0,135.0
22559,2003,1,4.0,4.0,7,33.861059999999995,-118.37527,9.469178120199592,2,1.0,1.0,1.0,341,100.0,52.0
22560,1962,1,3.0,3.0,4,34.02272,-118.42291000000002,9.12032509395505,5,2.0,4.0,1.0,634,100.0,110.0
22561,1485,0,1.0,1.0,2,34.06572,-118.32696000000001,15.720478240536083,2,1.0,1.0,1.0,365,96.0,65.0
22562,2528,0,11.0,11.0,5,34.01263,-117.88338999999999,49.07546105560757,8,3.0,4.0,2.5,291,95.0,168.0
22563,543,1,1.0,1.0,4,34.17948,-118.5813,30.881119936649828,2,2.0,2.0,1.0,520,100.0,165.0
22564,1112,0,3.0,3.0,7,33.77474,-118.2019,26.620117840532536,10,5.0,6.0,4.0,668,100.0,259.0
22565,1401,0,1183.0,1183.0,9,34.042,-118.44434,11.646339768175325,2,1.0,1.0,1.0,423,-1.0,139.0
22566,1538,0,2.0,2.0,5,34.06015,-118.27616,17.966695431678932,3,1.0,1.0,1.0,99,-1.0,53.0
22567,3302,1,3.0,3.0,5,34.14274,-118.39445,22.41021401737246,2,1.0,1.0,1.0,393,100.0,229.0
22568,714,1,3.0,3.0,4,33.79501,-118.30536000000001,18.88376750315773,2,1.0,1.0,1.0,317,93.0,62.0
22569,2610,1,42.0,42.0,7,34.02694,-118.43435,9.787186913808416,6,3.0,3.0,2.5,721,100.0,424.0
22570,800,1,1.0,1.0,2,33.9638,-118.36543,4.678565432668497,4,1.0,3.0,1.0,577,95.0,85.0
22571,920,1,48.0,48.0,3,34.04657,-118.14065,27.32161907217221,6,3.0,4.0,2.5,635,100.0,361.0
22572,507,0,1.0,1.0,3,34.08379,-118.35193999999998,16.653317280822833,8,4.0,4.0,3.5,629,94.0,879.0
22573,2034,0,1.0,1.0,8,34.41859,-118.56291,54.92509027299401,2,1.0,1.0,1.0,339,100.0,425.0
22574,2174,0,2.0,2.0,7,34.05202,-118.37513999999999,12.661417516078915,2,1.0,1.0,1.0,324,87.0,75.0
22575,1008,0,1.0,1.0,2,34.12469,-118.26983,24.044178151026216,4,-1.0,1.0,1.0,405,93.0,80.0
22576,506,0,2.0,2.0,5,34.140370000000004,-118.36641000000002,22.446924239657392,2,-1.0,1.0,1.0,525,80.0,90.0
22577,506,0,2.0,2.0,5,34.141290000000005,-118.3658,22.55746039309599,2,1.0,1.0,1.0,317,100.0,90.0
22578,2261,0,1.0,1.0,2,34.10549,-118.31152,20.303788877180516,2,-1.0,1.0,1.0,289,99.0,100.0
22579,3298,0,9.0,9.0,8,33.99585,-118.47148,8.376458717882073,1,1.0,1.0,2.0,601,-1.0,60.0
22580,769,1,1.0,1.0,4,34.1312,-118.64743,30.49216918497699,2,1.0,1.0,1.0,599,98.0,125.0
22581,2575,1,15.0,15.0,8,34.113170000000004,-118.18033,28.400700226952896,4,1.0,2.0,1.0,593,97.0,99.0
22582,3335,0,2.0,2.0,10,34.22382,-118.39424,31.418759427086776,2,1.0,1.0,1.0,438,88.0,89.0
22583,507,0,1.0,1.0,4,34.030809999999995,-118.48443999999999,12.145619078437877,2,1.0,2.0,1.0,521,-1.0,199.0
22584,2180,0,41.0,41.0,10,33.99836,-118.38555,6.658903546340655,8,4.0,5.0,3.0,319,100.0,400.0
22585,720,0,4.0,4.0,3,33.740559999999995,-118.30327,24.383512660486765,3,1.0,3.0,1.0,535,100.0,55.0
22586,1519,1,1.0,1.0,5,33.8457,-118.36093999999999,11.535422424026203,2,-1.0,1.0,1.0,419,100.0,84.0
22587,1525,0,1.0,1.0,5,34.170629999999996,-118.3942,25.509029392101652,3,1.0,1.0,1.0,263,-1.0,100.0
22588,1811,1,1636.0,1636.0,6,34.09359,-118.33352,18.26452558742594,6,3.0,3.0,2.0,462,-1.0,190.0
22589,660,1,2.0,2.0,4,33.779270000000004,-118.18346000000001,27.532995899765666,16,3.0,4.0,3.0,756,93.0,599.0
22590,540,1,1.0,1.0,2,34.02903,-118.35453999999999,10.924278345363133,4,1.0,2.0,1.0,508,97.0,74.0
22591,1552,1,1.0,1.0,4,34.176809999999996,-118.53798,28.754648795167203,2,1.0,1.0,1.0,248,96.0,35.0
22592,2678,0,1.0,1.0,1,33.87142,-118.40021000000002,7.84353365915977,6,3.0,3.0,2.0,216,100.0,350.0
22593,1528,1,3.0,3.0,6,33.99982,-117.85265,51.68190826406482,1,1.0,2.0,1.5,467,100.0,45.0
22594,505,1,1.0,1.0,2,34.07006,-117.98149,41.88592027573378,2,1.0,1.0,1.0,183,95.0,37.0
22595,2332,0,2.0,2.0,6,34.10778,-118.32418999999999,20.05175480295559,2,1.0,1.0,1.0,179,-1.0,69.0
22596,2149,1,28.0,28.0,6,34.02839,-118.79741999999999,37.14638569176642,8,4.0,5.0,5.5,572,100.0,2677.0
22597,3622,0,2.0,2.0,8,34.09836,-118.37698999999999,17.67672169693746,6,3.0,3.0,3.0,399,93.0,900.0
22598,1481,0,4.0,4.0,4,33.901709999999994,-118.3172,9.523586803455295,2,1.0,1.0,1.0,743,100.0,162.0
22599,1727,0,1.0,1.0,5,34.09881,-118.28532,20.850379555736684,3,-1.0,1.0,1.0,220,-1.0,55.0
22600,4421,0,1.0,1.0,5,34.18744,-118.29165,29.388133159582146,2,1.0,2.0,1.0,258,-1.0,55.0
22601,3350,1,1.0,1.0,7,34.09491,-118.21535,24.65543196956764,2,1.0,1.0,1.0,268,95.0,95.0
22602,506,0,16.0,16.0,5,33.34283,-118.32216000000001,67.07924615274085,2,-1.0,1.0,0.0,198,100.0,138.0
22603,1471,1,1.0,1.0,4,33.772690000000004,-118.15977,29.67867427177982,2,1.0,1.0,1.0,498,95.0,70.0
22604,506,1,3.0,3.0,6,34.06236,-118.38106,13.668359156940706,8,4.0,5.0,3.5,743,99.0,664.0
22605,1406,0,28.0,28.0,6,34.06089,-118.44339,13.65309003645873,6,2.0,3.0,2.0,277,100.0,199.0
22606,3091,0,1.0,1.0,6,33.98004,-118.40879,4.275758493763389,5,2.0,3.0,2.0,251,100.0,155.0
22607,1560,0,2.0,2.0,7,34.113820000000004,-118.36273999999999,19.614959082710634,1,1.0,1.0,1.0,363,-1.0,89.0
22608,908,0,1.0,1.0,4,34.04583,-118.25153999999999,18.545416390613095,3,1.0,1.0,1.0,410,100.0,175.0
22609,1729,0,1.0,1.0,6,34.18758,-118.28473000000001,29.642053502746144,1,1.0,0.0,1.5,187,-1.0,50.0
22610,881,0,16.0,16.0,5,34.09843,-118.34181000000001,18.495960611630135,6,2.0,3.0,1.0,438,89.0,168.0
22611,1230,0,1.0,1.0,4,34.01226,-118.44278,8.471695756417244,2,1.0,1.0,1.0,427,100.0,159.0
22612,3244,0,26.0,26.0,9,33.98352,-118.46668000000001,7.109838274956017,3,1.0,1.0,1.0,402,100.0,300.0
22613,1634,0,1.0,1.0,2,34.22716,-118.46946000000001,32.255410125836434,1,1.0,1.0,1.0,318,90.0,25.0
22614,2305,0,2.0,2.0,6,34.06682,-118.34867,14.981008113946409,2,1.0,2.0,1.0,334,93.0,50.0
22615,1811,1,1636.0,1636.0,6,33.98768,-118.44228000000001,5.99846814631157,2,1.0,1.0,1.0,513,100.0,118.0
22616,1761,0,52.0,52.0,6,33.999590000000005,-118.28477,13.11008800286912,2,1.0,1.0,1.0,378,83.0,35.0
22617,1761,0,52.0,52.0,6,33.99982,-118.28639,12.992915286440363,2,1.0,1.0,1.0,429,87.0,39.0
22618,929,0,6.0,6.0,5,34.001020000000004,-117.9911,39.06611116326567,2,-1.0,1.0,1.0,170,-1.0,55.0
22619,504,0,1.0,1.0,2,34.20109,-118.54942,31.648912216303966,3,1.0,1.0,1.0,225,-1.0,80.0
22620,2051,1,1.0,1.0,6,34.120670000000004,-118.34681,20.71378503517462,2,-1.0,1.0,1.0,453,96.0,100.0
22621,3175,0,6.0,6.0,6,34.118520000000004,-118.3278,21.037900500626996,4,1.0,3.0,1.0,336,90.0,295.0
22622,574,1,4.0,4.0,4,34.09984,-118.25438,22.62027659304797,5,2.0,3.0,1.5,601,98.0,169.0
22623,3357,1,1.0,1.0,6,34.0803,-118.20651000000001,24.183822857372338,2,1.0,1.0,1.0,477,99.0,111.0
22624,1401,0,1183.0,1183.0,9,34.05547,-118.44528999999999,13.11223588395251,2,1.0,1.0,1.0,437,-1.0,139.0
22625,1650,0,2.0,2.0,6,34.03931,-118.36205,11.682047289458588,6,3.0,6.0,3.0,344,-1.0,199.0
22626,763,0,12.0,12.0,4,33.98769,-118.34498,7.7858660589953175,1,1.0,1.0,1.0,419,100.0,41.0
22627,504,1,2.0,2.0,4,34.02479,-118.15432,25.203568694850414,6,2.0,4.0,1.0,397,95.0,72.0
22628,2257,0,6.0,6.0,6,34.10197,-118.37676,18.076332818282822,5,3.0,4.0,3.0,576,85.0,2169.0
22629,535,0,1.0,1.0,5,34.04233,-118.3297,13.35457915007493,1,1.0,1.0,1.0,214,-1.0,44.0
22630,3113,1,1.0,1.0,6,34.06832,-118.38078,14.324925264842674,2,1.0,1.0,1.0,470,98.0,92.0
22631,946,0,3.0,3.0,2,34.06128,-118.37867,13.593206499055224,2,1.0,1.0,1.0,226,-1.0,95.0
22632,1351,1,13.0,13.0,5,33.9729,-117.91078999999999,46.05051669194896,2,1.0,1.0,1.0,592,100.0,69.0
