,host_response_time,host_response_rate,host_acceptance_rate,neighbourhood_cleansed,neighborhood_matched,property_type,room_type,maximum_nights,minimum_nights,number_of_reviews,number_of_reviews_l30d,negiborhood_frequency
16292,1,1.0,1.0,Pico-Robertson,False,1,1,1125,31,40,0,165
16293,-1,-1.0,1.0,West Hollywood,True,1,1,3,1,5,0,632
16294,1,1.0,1.0,Pico-Robertson,False,1,1,1125,31,52,0,165
16295,4,0.25,0.88,Venice,False,1,1,1125,2,30,0,1701
16296,-1,-1.0,1.0,Hacienda Heights,False,1,1,3,2,58,0,229
16297,1,1.0,1.0,Lake View Terrace,False,2,2,183,31,24,1,2
16298,1,1.0,0.98,Mount Washington,False,1,1,1125,31,15,0,97
16299,1,1.0,0.97,Hollywood Hills,True,1,1,1125,3,64,2,787
16300,-1,-1.0,1.0,Baldwin Hills/Crenshaw,False,2,2,1125,30,3,0,74
16301,1,1.0,1.0,Monterey Park,True,1,1,1125,3,19,0,235
16302,1,1.0,1.0,Glendale,False,1,1,31,3,102,3,556
16303,1,1.0,1.0,Signal Hill,True,1,1,10,1,275,3,37
16304,-1,-1.0,-1.0,Mid-Wilshire,False,1,1,365,1,14,0,514
16305,4,0.23,0.09,Bel-Air,False,1,1,1125,3,0,0,56
16306,-1,-1.0,-1.0,Long Beach,False,1,1,30,1,128,5,1573
16307,1,1.0,0.96,West Los Angeles,False,3,3,90,30,3,0,157
16308,-1,-1.0,-1.0,Covina,True,2,2,5,1,0,0,48
16309,1,1.0,1.0,Venice,True,1,1,1124,1,159,7,1701
16310,1,1.0,0.98,Reseda,True,2,2,1125,1,51,1,112
16311,1,1.0,0.99,West Hollywood,True,1,1,1125,31,59,0,632
16312,1,1.0,1.0,Long Beach,True,1,1,30,1,30,0,1573
16313,1,1.0,0.93,Mid-City,False,1,1,1125,30,14,0,397
16314,-1,-1.0,-1.0,University Park,False,3,3,1125,2,2,0,65
16315,1,1.0,0.93,Mid-City,False,1,1,1125,1,54,1,397
16316,1,1.0,0.65,Brentwood,True,1,1,30,2,5,1,198
16317,2,1.0,0.93,Santa Monica,True,1,1,1125,30,1,0,1184
16318,-1,-1.0,-1.0,Winnetka,False,2,2,1125,1,2,0,74
16319,-1,-1.0,1.0,Cheviot Hills,False,2,2,10,4,10,0,35
16320,-1,-1.0,-1.0,Glendale,False,2,2,1125,60,5,0,556
16321,1,1.0,1.0,Fairfax,False,1,1,1125,30,2,0,261
16322,4,0.0,-1.0,West Hollywood,True,1,1,1125,30,1,0,632
16323,1,1.0,0.98,Unincorporated Santa Monica Mountains,False,1,1,365,1,71,7,125
16324,1,1.0,0.87,Palms,True,2,2,180,30,54,0,249
16325,1,1.0,0.97,Sun Valley,False,1,1,1124,1,43,2,77
16326,-1,-1.0,-1.0,Long Beach,True,1,1,1125,1,6,0,1573
16327,1,1.0,0.87,Palms,True,2,2,180,30,18,0,249
16328,2,0.9,0.99,Azusa,True,2,2,1125,1,28,0,66
16329,1,1.0,0.87,Palms,True,2,2,180,30,42,0,249
16330,1,1.0,0.97,Hollywood,True,1,1,60,1,25,1,1616
16331,-1,-1.0,0.97,Rowland Heights,False,2,2,1125,1000,100,0,517
16332,1,1.0,0.99,Watts,True,3,3,365,30,23,0,27
16333,1,0.9,0.97,Alhambra,False,1,1,14,3,57,0,258
16334,-1,-1.0,-1.0,Torrance,False,1,1,1125,1,9,0,295
16335,-1,-1.0,0.4,Sherman Oaks,False,1,1,1125,30,10,0,375
16336,1,1.0,0.94,Hollywood,False,1,1,1125,1,36,0,1616
